framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
spark1.5,gmm,small,1.103294844,1.490732993,1.829070916,1,1.094893563,1.711572401,1.550785601,1.856860377,2.423455901,1.194989633,1.300791974,1.699816912,1.908823353,2.364313553,2.965921553,1.516365063,1.736307773,2.51604036
spark1.5,gradient-boosted-tree,large,8.264330535,1.225920941,2.328615169,8.17372441,1.035905832,1.61770659,1.299481022,1.640320403,2.527267111,1,1.213774677,1.825926375,1.73629196,2.124520555,4.251030777,1.282637246,1.724461705,2.388106265
spark1.5,gradient-boosted-tree,medium,1.187441753,1.996989735,3.979510386,1,1.634370415,3.558077092,1.577788122,2.662827507,5.450176094,1.174607355,1.941658676,3.777321675,2.22737884,3.452171053,7.440062275,1.766065453,2.637124185,4.940897675
spark1.5,gradient-boosted-tree,small,1.038574676,1.700927136,3.678920414,1.300908175,1.402243224,3.162550727,1.435811589,2.27824076,5.092964524,1,1.723076143,3.475117397,1.737125949,2.968998063,6.116620126,1.376624801,2.309287688,4.549050773
spark1.5,kmeans,large,6.849420813,4.787773866,1.18811718,5.965542338,4.024175998,1.110584954,7.06729143,1.290552985,1.57092555,4.10986154,1,1.120288438,6.994938009,1.766693523,1.943510671,5.407288091,1.357281681,1.643415832
spark1.5,kmeans,medium,6.224454853,4.506280503,1.39990998,5.743603919,3.660117406,1.268735515,5.155966138,1.277451532,1.865005906,3.734308032,1,1.464398351,1.394888895,1.765389586,2.371539827,1.144738143,1.296579499,1.827340688
spark1.5,kmeans,small,5.565946659,1.278835893,2.21206302,4.944612627,1.158669261,1.635782834,1.30005846,1.733546987,2.722273895,1,1.27149984,1.90657155,1.553277094,2.36368879,3.427428465,1.346637953,1.558840406,2.706107457
spark1.5,lda,large,1.943057842,1.206465014,1.970911349,1.817512796,1.007617982,1.305313422,1.418599232,1.430214212,2.147350387,1,1.195515224,1.706816713,1.431707745,1.819295057,2.8530002,1.103239337,1.300565356,1.858037531
spark1.5,lda,medium,1.662119418,1.33680658,2.419331875,1.361106043,1.099709823,1.865530635,1.383335284,1.716220055,2.778450219,1,1.312222043,1.907103959,1.607698074,2.124308787,3.397147516,1.209566397,1.655185415,2.428414552
spark1.5,lda,small,1.474665563,1.687742004,2.364602376,1.178048301,1.130204143,2.177002959,1.537690482,1.968816446,3.765635263,1,1.282263278,2.150474132,1.684062208,2.486011232,4.311922144,1.318646355,1.994228973,3.234758188
spark1.5,naive-bayes,large,1.099399297,1.143704641,1.243596299,1,1.01856019,1.077386581,1.4831015,1.568012149,1.685574879,1.075431018,1.165570858,1.209707016,1.94577065,1.96723735,2.078097999,1.478279391,1.5280731,1.599530485
spark1.5,naive-bayes,medium,1.27194137,1.338108489,1.462452507,1.152689424,1.187708699,1.262238945,1.726790241,1.811073858,1.952429522,1.247390018,1.351821395,1.415723022,2.229153692,2.281151955,1.282619703,1.718142147,1.759044831,1
spark1.5,naive-bayes,small,1.568593808,1.671194113,1.857544279,1.410211717,1.501052092,1.669022424,2.196891484,2.293681774,1.412523082,1.53237743,1.671758268,1,2.785950636,1.446686009,1.722260568,2.126470792,1.160276161,1.338867695
spark1.5,pca,large,1.19382791,1.307603049,1.689425955,1,1.141201304,1.393081906,1.609687441,1.762262336,2.128868003,1.175211208,1.277195512,1.552220914,2.015063548,2.206140075,2.61731861,1.576589185,1.696008054,2.043538841
spark1.5,pca,medium,1.163551982,1.353821857,1.843340211,1,1.113902024,1.857412281,1.579759555,1.817621157,2.392992149,1.14847147,1.314687249,1.690715956,1.96384353,2.28900884,3.000031277,1.521453788,1.746653736,2.306304933
spark1.5,pca,small,1.262973272,1.893083973,2.277660856,1,1.308470309,2.026862725,1.603627548,2.2106482,3.318342819,1.222583046,1.465408926,2.25521602,2.042958181,2.50834162,3.917488998,1.561636338,1.939390071,2.946792567
spark1.5,pearson,large,1.185689767,1.362950874,2.027971009,1,1.166113264,1.441815712,1.502700859,1.567743397,1.947905802,1.094926579,1.127506651,1.578409694,1.961901287,1.997107404,2.815093179,1.565031873,1.561565591,2.250948909
spark1.5,pearson,medium,1.193023645,1.297142655,2.24540887,1,1.11212178,1.606866061,1.612803332,1.537166156,2.147072861,1.185196251,1.107324147,1.508099745,1.738730097,1.919575658,2.896869616,1.365667386,1.477564027,1.801876417
spark1.5,pearson,small,1.218544488,1.235162863,1.846150647,1,1.012540602,1.567986188,1.329057951,1.671114843,2.524259219,1.040002581,1.207250329,1.748049281,1.697502865,2.066292028,3.116234821,1.306328588,1.616834213,2.441041936
spark1.5,pic,large,2.930678137,1.225242652,1.774764713,2.503688843,1.217149777,1.725198839,1.391872305,1.425053814,2.331615823,1,1.203958623,1.724328224,1.290046343,2.168210747,2.992432921,1.05522568,1.527231628,2.186039471
spark1.5,pic,medium,1.526005656,1.270286434,2.121906008,1.392055795,1,1.710578218,1.171479094,1.657959047,2.846783153,1.154468147,1.311346488,1.872315128,1.356153094,2.004242362,3.403167798,1.06963074,1.517652203,2.47417263
spark1.5,pic,small,1.314588405,1.715591324,3.124250379,1.082111565,1.350937767,3.818380174,1.559736348,2.168599998,4.008506905,1,1.544951027,2.714216071,1.772823907,2.917262039,5.091242454,1.450598385,2.072699613,3.703297447
spark1.5,random-forest,large,1.309324875,1.199320513,1.829175532,1.087123399,1.001166317,1.668370599,1.241987262,1.71194238,2.486377253,1,1.241245878,1.766694628,1.658483208,2.193871175,3.45573481,1.547766647,1.685070285,2.381066982
spark1.5,random-forest,small,1.161661499,1.348495921,2.199086296,1.096684269,1.179763636,2.773036019,1.28841519,1.729168628,3.339742241,1,1.261976198,2.177823014,1.678294231,2.184325366,3.617601238,1.442577254,1.663844398,4.658920712
spark1.5,regression,large,3.764294552,4.398701488,4.904536593,3.298991731,3.862329085,4.261570424,5.536184112,5.857131696,1.446547157,4.253445763,4.398572243,1.080424836,6.890035699,1.257198848,1.208324751,5.725685271,1.022229998,1
spark1.5,regression,medium,4.026065817,4.772760443,5.274080788,3.598808226,4.059097804,4.584139596,5.739219427,6.130429909,1.352314917,4.415511722,4.700256523,1,7.444611417,1.264876911,1.35609557,6.025169748,1.062717401,1.054942774
spark1.5,regression,small,4.583774834,5.540922244,1.43508408,3.97532058,4.359798846,1.260152277,6.661035172,1.332511827,1.44522409,5.136513243,1,1.096271927,8.705337636,1.337852454,1.937685147,7.003207764,1.157349855,1.500331739
spark1.5,spearman,large,1.252345873,1.453420727,1.584186851,1.019659699,1.202983471,1.284072498,1.566151291,1.654295208,2.055799056,1,1.183441424,1.449472749,1.436675427,2.086806149,2.732285064,1.112263683,1.512250581,1.997989481
spark1.5,spearman,medium,1.213657959,1.384469708,1.368333579,1,1.120946312,1.141521155,1.751265529,1.429738216,1.706962647,1.06288018,1.022576944,1.188636364,1.530372942,1.671558808,2.175544952,1.168704004,1.282422055,1.579435604
spark1.5,spearman,small,1.377178345,1.476488401,1.826815113,1,1.16142474,1.585410463,1.421155359,1.872858383,2.459621476,1.058210762,1.236474167,1.681135465,1.533654898,2.119435315,3.141798199,1.158686607,1.57136297,2.365104359
spark1.5,summary-statistics,large,1.183190511,1.33891909,1.736238723,1,1.230960995,1.558382461,1.571214198,1.673141393,2.358051002,1.050162411,1.357847856,1.627027619,1.972102499,2.145064995,2.88238436,1.395807491,1.804347758,2.271044615
spark1.5,summary-statistics,medium,1.154960433,1.563665425,2.787767934,1,1.429332907,2.376706376,1.511474069,2.033868422,3.681282182,1.080229615,1.564842636,2.585392958,2.112750206,2.620053075,4.686975197,1.493356918,2.283319191,3.55201984
spark1.5,summary-statistics,small,1.289273017,1.85835911,3.664889858,1.041838798,1.386581251,3.101609034,1.372845221,2.261399262,4.603970633,1,1.664921226,3.314062104,1.757694963,2.69853648,5.903937431,1.369628509,2.311015133,5.166182333
spark1.5,svd,large,1.114557812,1.168160885,1.469906661,1,1.044607375,1.179966846,1.510039856,1.574525064,1.799133465,1.072129438,1.117432263,1.260871935,1.876610904,1.974325162,2.205880527,1.422437934,1.48371177,1.673165016
spark1.5,svd,medium,1.156845375,1.162361259,1.564904615,1,1.022987277,1.421564887,1.510587094,1.563598968,2.111586143,1.071854966,1.090942996,1.60318427,1.875224879,1.912263788,2.66689557,1.431029078,1.446640618,2.115098314
spark1.5,svd,small,1.10941275,1.216410118,1.562538962,1,1.064400535,1.345814534,1.511718409,1.617268965,1.957402696,1.070546021,1.15077773,1.45505849,1.880624157,2.028610725,2.629395365,1.442253909,1.662077524,2.076090341
spark1.5,word2vec,large,1.225991905,1.249875995,1.400736713,1,1.022529891,1.135808342,1.616969619,1.687507263,1.8575703,1.165437955,1.220038363,1.365901473,2.029072014,2.096838889,2.32222373,1.565285828,1.881777627,1.762233509
spark1.5,word2vec,medium,1.219142898,1.268025139,1.518321197,1,1.05797922,1.248237482,1.781498136,1.722408772,2.013730913,1.151836906,1.23670927,1.414251193,2.014861086,2.196605749,2.509456701,1.803280048,1.775335124,2.009925144
spark1.5,word2vec,small,1.511423696,1.557107099,1.74391607,1,1.23972151,1.413498503,1.626868653,1.809003128,2.260350401,1.226738552,1.770126619,1.65502871,2.05489864,2.363644486,2.883673805,1.60384741,1.932467725,3.605469083
